City,Country,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Port Elizabeth,US,1,1574478994,52,39.31,-74.98,43.0,12.75
Mokhsogollokh,RU,100,1574478995,92,61.4,128.95,-17.43,5.28
Yellowknife,CA,90,1574478997,100,62.45,-114.38,21.2,14.99
Comodoro Rivadavia,AR,54,1574479000,58,-45.87,-67.48,57.2,5.82
Albany,US,20,1574479002,47,42.65,-73.75,35.6,18.34
Ilulissat,GL,100,1574479004,38,69.22,-51.1,23.0,11.41
Jamestown,AU,0,1574479005,26,-33.21,138.6,74.44,10.65
Sangar,RU,4,1574479007,90,63.92,127.47,-20.79,2.82
Vic,ES,90,1574479009,93,41.93,2.25,61.0,9.17
Bluff,AU,0,1574479010,24,-23.58,149.07,89.65,10.25
Castro,CL,100,1574479012,81,-42.48,-73.76,51.8,3.36
Mataura,NZ,100,1574479013,87,-46.19,168.86,55.99,5.01
Batagay-Alyta,RU,77,1574479015,92,67.8,130.41,-27.76,2.1
Okhotsk,RU,100,1574479017,74,59.36,143.24,-3.66,14.03
Tuktoyaktuk,CA,90,1574479018,92,69.44,-133.03,15.8,10.29
Vaini,IN,0,1574479020,76,15.34,74.49,69.13,11.05
Kantabanji,IN,0,1574479022,61,20.47,82.92,71.04,2.19
Ponta do Sol,BR,100,1574479023,95,-20.63,-46.0,67.05,4.45
Maungatapere,NZ,0,1574479025,36,-35.76,174.21,81.0,8.99
Nanortalik,GL,100,1574479026,75,60.14,-45.24,33.98,11.43
Barrow,AR,97,1574479028,92,-38.31,-60.23,43.7,6.31
Tura,RU,100,1574479030,93,64.27,100.22,-14.62,5.21
Saint-Augustin,CA,40,1574479031,58,45.63,-73.98,28.99,10.29
Oneida,US,1,1574479034,92,41.07,-90.23,32.0,4.29
Tessalit,ML,0,1574479036,14,20.2,1.01,65.59,4.09
Biltine,TD,37,1574479039,16,14.53,20.93,71.13,9.98
Punta Arenas,CL,95,1574478836,66,-53.16,-70.91,50.0,6.93
Sirjan,IR,55,1574479043,34,29.44,55.67,39.2,3.13
Necochea,AR,67,1574479044,81,-38.55,-58.74,53.01,1.99
Bogorodskoye,RU,100,1574479046,91,52.37,140.44,29.05,8.21
Atar,MR,0,1574478487,25,20.52,-13.05,66.31,6.02
Vestmannaeyjar,IS,100,1574479049,87,63.44,-20.27,44.24,9.15
Clyde River,CA,90,1574479051,92,70.47,-68.59,14.0,11.41
Dikson,RU,100,1574479052,98,73.51,80.55,-6.93,10.18
Praia,BR,100,1574479054,96,-20.25,-43.81,64.58,5.88
Arraial do Cabo,BR,100,1574479055,88,-22.97,-42.02,74.48,24.7
Ahipara,NZ,0,1574479057,63,-35.17,173.16,79.0,25.95
Busselton,AU,0,1574479059,29,-33.64,115.35,82.0,10.38
Ushuaia,AR,20,1574479060,66,-54.81,-68.31,48.2,4.16
Hermanus,ZA,98,1574479062,74,-34.42,19.24,62.01,1.01
Krynychky,UA,0,1574479065,61,48.37,34.46,15.8,17.9
San Rafael del Sur,NI,40,1574479067,74,11.85,-86.44,80.6,4.7
Rikitea,PF,0,1574479068,74,-23.12,-134.97,72.55,11.52
Kapaa,US,75,1574478958,78,22.08,-159.32,82.4,21.92
Souillac,FR,100,1574479072,87,45.6,-0.6,53.6,8.05
Tezu,IN,24,1574479073,52,27.93,96.16,70.95,2.13
Butaritari,KI,100,1574479075,76,3.07,172.79,83.01,15.48
Port Alfred,ZA,0,1574479076,93,-33.59,26.89,63.0,2.98
Atuona,PF,1,1574479078,73,-9.8,-139.03,79.7,13.94
Dhidhdhoo,MV,49,1574479080,72,6.88,73.1,83.5,10.56
Calbuco,CL,100,1574479081,81,-41.77,-73.13,53.6,2.24
Grand Gaube,MU,75,1574479083,83,-20.01,57.66,80.01,1.12
Tres Arroyos,AR,100,1574479084,89,-38.38,-60.28,43.45,7.25
Fare,PF,48,1574479086,80,-16.7,-151.02,80.64,16.44
